순위,상품번호,도서명,부제목,저자,출판사,출판일,할인율,판매가,정가,판매지수,리뷰수,평점
95,174658020,요즘 바이브 코딩 안티그래비티 완벽 가이드,"구글 AI, 제미나이, 스티치, 프롬프트 엔지니어링, 인공지능 에이전트, RAG, 프론트엔드, PRD, TDD, 클린 아키텍처, 리팩터링, 챗봇, 블로그, 랜딩 페이지 더 빠르고 더 견고한 프로그램을 만드는 원리와 방법",최지호,골든래빗,2026년 02월,10%,"25,200원","28,000원","19,206",29,9.8
96,154566057,요즘 당근 AI 개발,"AI가 만든 파도 위에서 과감히 서핑하는 법. AI 에이전트, 프롬프트 엔지니어링, VoC 자동 분석, 운영자동화, 바이브 코딩 AI 검색과 추천까지 당근의 AI 활용 이야기",당근 팀,골든래빗,2025년 10월,10%,"19,800원","22,000원","15,729",92,9.8
97,190823476,퇴근을 앞당기는 AI 업무 활용 루틴,"챗GPT, 퍼플렉시티, 제미나이, 릴리스AI, 냅킨, 감마, Flow, Veo로 완성하는",오언주,시대인,2026년 06월,10%,"17,100원","19,000원","1,806",1,10.0
98,190365713,청소년을 위한 바로 써먹는 필수 AI 활용법,"제미나이, 노트북LM, 미드저니, 수노 AI, 클로바더빙",김환,알파에듀,2026년 06월,10%,"15,120원","16,800원","1,959",16,10.0
99,189257260,모던 데이터 아키텍처 설계와 구현,지속적인 데이터 통합 파이프라인 구축부터 데이터 거버넌스 전략까지,"피트하인 스트렝홀트저/김영기,김현진역",책만,2026년 05월,10%,"29,700원","33,000원","1,923",1,10.0
100,179619230,맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2026,"동영상 편집부터 모션 그래픽, AI 기능까지 제대로 써먹는 그래픽 입문서","심수진,윤성우,이수정",한빛미디어,2026년 03월,10%,"24,300원","27,000원","3,438",125,9.9
101,187222189,하이러닝으로 끝내는 AI 디지털 수업 50제,경기도 현직 교사를 위한 하이러닝 실전 활용 가이드,"유지현,조윤호,고윤경,진연자,곽지현저 외 7명정보 더 보기/감추기유지현조윤호고윤경진연자곽지현최혜진최정은조희정조연영이성찬허윤영정승연",한빛미디어,2026년 04월,10%,"21,600원","24,000원","3,867",102,10.0
102,185714339,"AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지",AI 나만 못 쓰나? 지금도 Q&A에 멈춰 있는 당신에게,김용성,프리렉,2026년 04월,10%,"22,500원","25,000원","3,396",205,9.6
103,176919464,된다! 피그마 디자인 10분 레시피,SNS 콘텐츠 + UX/UI + 웹 디자인 + AI 활용,"하이서,김대일,김시원,최유빈",이지스퍼블리싱,2026년 02월,10%,"25,200원","28,000원","3,012",27,10.0
104,144979816,질문으로 답을 찾는 인공지능 윤리 수업,,박형빈,한언,2025년 04월,10%,"18,900원","21,000원","9,303",11,9.8
105,143912145,혼자 공부하는 머신러닝+딥러닝,케라스와 파이토치로 1:1 과외하듯 배우는 인공지능 자습서,박해선,한빛미디어,2025년 04월,10%,"28,800원","32,000원","18,333",147,9.7
106,127086566,그림으로 이해하는 서버 구조와 기술,"서버, 쉽고 재미있게 시작하자!","요코타 카즈키,엔도 유키저/김성훈역",길벗,2024년 06월,10%,"19,800원","22,000원","2,517",14,10.0
107,189790267,Do it! 유니티 6로 게임 제작 & 출시하기,AI 시대에 게임 업계가 바라는 제작 전략을 담았다!,고정운,이지스퍼블리싱,2026년 05월,10%,"32,400원","36,000원","1,674",0,
